+------------+--------+--------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close |   MA10 |   MA40 | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
| 2004-04-01 |  80.09 |  78.43 |  79.83 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-02 |   80.7 |  78.69 |  79.86 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-05 |  81.14 |  79.08 |  79.89 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-06 |  80.88 |  79.46 |  79.90 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-07 |  80.69 |  79.82 |  79.90 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-08 |  80.51 |  80.06 |  79.88 |          |        |          |        |          |           |          |  9413.29 |
| 2004-04-12 |  80.83 |  80.33 |  79.87 |   MA+    |  80.66 |          |        |      116 |     77.82 |    19.60 |  9432.89 |
| 2004-04-13 |  79.69 |  80.37 |  79.85 |          |        |          |        |      116 |     78.05 |  -111.87 |  9301.42 |
| 2004-04-14 |  79.82 |  80.40 |  79.81 |          |        |          |        |      116 |     78.09 |   -97.17 |  9316.11 |
| 2004-04-15 |  79.52 |  80.39 |  79.77 |          |        |          |        |      116 |     78.09 |  -132.29 |  9281.00 |
| 2004-04-16 |  80.13 |  80.39 |  79.75 |          |        |          |        |      116 |     78.12 |   -61.25 |  9352.04 |
| 2004-04-19 |  80.13 |  80.33 |  79.74 |          |        |          |        |      116 |     78.12 |   -61.25 |  9352.04 |
| 2004-04-20 |  78.79 |  80.10 |  79.70 |          |        |          |        |      116 |     78.16 |  -217.21 |  9196.08 |
| 2004-04-21 |  79.31 |  79.94 |  79.67 |          |        |          |        |      116 |     78.20 |  -155.96 |  9257.33 |
| 2004-04-22 |  80.43 |  79.92 |  79.67 |          |        |          |        |      116 |     78.20 |   -26.95 |  9386.34 |
| 2004-04-23 |   80.5 |  79.91 |  79.67 |          |        |          |        |      116 |     78.20 |   -17.97 |  9395.32 |
| 2004-04-26 |  80.39 |  79.87 |  79.66 |          |        |          |        |      116 |     78.20 |   -31.03 |  9382.26 |
| 2004-04-27 |  80.46 |  79.95 |  79.63 |          |        |          |        |      116 |     78.40 |   -22.87 |  9390.42 |
| 2004-04-28 |  79.42 |  79.91 |  79.59 |          |        |          |        |      116 |     78.76 |  -143.72 |  9269.57 |
| 2004-04-29 |  78.72 |  79.83 |  79.53 |          |        |          |        |      116 |     79.11 |  -224.56 |  9188.73 |
| 2004-04-30 |  78.11 |  79.63 |  79.45 |          |        |          |        |      116 |     79.11 |  -295.60 |  9117.69 |
| 2004-05-03 |  78.95 |  79.51 |  79.38 |          |        |          |        |      116 |     79.24 |  -198.43 |  9214.86 |
| 2004-05-04 |  78.88 |  79.52 |  79.34 |          |        |          |        |      116 |     79.24 |  -205.78 |  9207.51 |
| 2004-05-05 |  79.39 |  79.53 |  79.32 |          |        |          |        |      116 |     79.24 |  -146.98 |  9266.31 |
| 2004-05-06 |  78.71 |  79.35 |  79.31 |          |        |          |        |      116 |     79.24 |  -226.19 |  9187.10 |
| 2004-05-07 |  77.41 |  79.04 |  79.30 |          |        |          |        |      116 |     79.24 |  -377.26 |  9036.03 |
| 2004-05-10 |  76.61 |  78.67 |  79.24 |          |        |   MA-    |  77.04 |      116 |     79.24 |  -419.72 |  8993.57 |
| 2004-05-11 |  77.26 |  78.34 |  79.22 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-12 |  77.75 |  78.18 |  79.20 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-13 |  77.43 |  78.05 |  79.16 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-14 |  77.46 |  77.98 |  79.11 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-17 |   76.8 |  77.77 |  79.07 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-18 |  77.19 |  77.60 |  79.07 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-19 |  76.92 |  77.35 |  79.07 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-20 |  77.17 |  77.20 |  79.07 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-21 |   77.3 |  77.19 |  79.05 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-24 |  77.62 |  77.29 |  79.04 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-25 |  78.74 |  77.44 |  79.03 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-26 |  79.01 |  77.56 |  79.01 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-27 |  79.45 |  77.77 |  79.01 |          |        |          |        |          |           |          |  8993.57 |
| 2004-05-28 |  79.45 |  77.96 |  78.99 |          |        |          |        |          |           |          |  8993.57 |
| 2004-06-01 |  79.34 |  78.22 |  78.96 |          |        |          |        |          |           |          |  8993.57 |
| 2004-06-02 |  79.64 |  78.46 |  78.92 |          |        |          |        |          |           |          |  8993.57 |
| 2004-06-03 |   78.9 |  78.66 |  78.87 |          |        |          |        |          |           |          |  8993.57 |
| 2004-06-04 |  79.53 |  78.90 |  78.84 |          |        |          |        |          |           |          |  8993.57 |
| 2004-06-07 |  80.74 |  79.24 |  78.85 |   MA+    |  79.85 |          |        |      112 |     78.02 |   100.13 |  9093.70 |
| 2004-06-08 |  80.85 |  79.57 |  78.85 |          |        |          |        |      112 |     78.02 |   112.74 |  9106.31 |
| 2004-06-09 |   80.1 |  79.70 |  78.86 |          |        |          |        |      112 |     78.02 |    28.38 |  9021.95 |
| 2004-06-10 |   80.5 |  79.85 |  78.88 |          |        |          |        |      112 |     78.02 |    72.53 |  9066.10 |
| 2004-06-14 |   79.7 |  79.88 |  78.88 |          |        |          |        |      112 |     78.02 |   -16.56 |  8977.01 |
| 2004-06-15 |  80.26 |  79.96 |  78.88 |          |        |          |        |      112 |     78.02 |    46.52 |  9040.09 |
| 2004-06-16 |  80.25 |  80.05 |  78.89 |          |        |          |        |      112 |     78.02 |    44.94 |  9038.51 |
| 2004-06-17 |  80.13 |  80.10 |  78.92 |          |        |          |        |      112 |     78.02 |    31.54 |  9025.11 |
| 2004-06-18 |  80.28 |  80.23 |  78.94 |          |        |          |        |      112 |     78.02 |    48.47 |  9042.04 |
| 2004-06-21 |  79.98 |  80.28 |  78.93 |          |        |          |        |      112 |     78.02 |    14.45 |  9008.02 |
| 2004-06-22 |  80.38 |  80.24 |  78.93 |          |        |          |        |      112 |     78.02 |    59.55 |  9053.12 |
| 2004-06-23 |  81.07 |  80.27 |  78.95 |          |        |          |        |      112 |     78.06 |   137.10 |  9130.67 |
| 2004-06-24 |  80.82 |  80.34 |  78.95 |          |        |          |        |      112 |     78.26 |   108.61 |  9102.18 |
| 2004-06-25 |  80.43 |  80.33 |  78.98 |          |        |          |        |      112 |     78.57 |    65.09 |  9058.66 |
| 2004-06-28 |  80.15 |  80.38 |  79.02 |          |        |          |        |      112 |     78.89 |    34.23 |  9027.80 |
| 2004-06-29 |  80.49 |  80.40 |  79.08 |          |        |          |        |      112 |     79.26 |    71.42 |  9064.99 |
| 2004-06-30 |  80.92 |  80.46 |  79.12 |          |        |          |        |      112 |     79.59 |   119.69 |  9113.26 |
| 2004-07-01 |  79.79 |  80.43 |  79.15 |          |        |          |        |      112 |     79.73 |    -6.13 |  8987.44 |
| 2004-07-02 |  79.75 |  80.38 |  79.16 |          |        |          |        |      112 |     79.83 |   -10.88 |  8982.70 |
| 2004-07-06 |  79.05 |  80.28 |  79.17 |          |        |          |        |      112 |     79.83 |   -89.22 |  8904.36 |
| 2004-07-07 |  79.28 |  80.18 |  79.21 |          |        |          |        |      112 |     79.83 |   -63.10 |  8930.47 |
| 2004-07-08 |  78.73 |  79.94 |  79.27 |          |        |          |        |      112 |     79.83 |  -124.82 |  8868.75 |
| 2004-07-09 |  78.94 |  79.75 |  79.31 |          |        |          |        |      112 |     79.83 |  -101.88 |  8891.69 |
| 2004-07-12 |  78.97 |  79.61 |  79.34 |          |        |          |        |      112 |     79.83 |   -97.92 |  8895.65 |
| 2004-07-13 |  79.03 |  79.50 |  79.38 |          |        |          |        |      112 |     79.83 |   -91.59 |  8901.99 |
| 2004-07-14 |  78.79 |  79.33 |  79.41 |          |        |          |        |      112 |     79.83 |  -118.50 |  8875.08 |
| 2004-07-15 |  78.28 |  79.06 |  79.45 |          |        |   MA-    |  78.95 |      112 |     79.83 |  -101.08 |  8892.49 |
| 2004-07-16 |  78.22 |  78.91 |  79.47 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-19 |  77.89 |  78.72 |  79.50 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-20 |  78.87 |  78.70 |  79.54 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-21 |  77.42 |  78.52 |  79.54 |          |        |          |        |          |           |          |  8892.49 |
